epoch_ms,wallet_label,mint,buy_count,hold_duration_ms,wallet_token_amount,wallet_lamports_spent,wallet_lamports_received,wallet_pnl_sol,our_lamports_spent,our_lamports_received,our_pnl_sol
1784619521224,Zuki,69DNxGC9KeVEihCFnTWxveYnyfBazc55jtzQwKp5pump,3,55411,29035767050203,2105041222,1891013995,-0.214027,4717016944.450485,2995102114,-1.721915
1784620387411,Zuki,DJoMkhj1n1Uc6iKfPs5g9ZB2JzW3j652HJBwrRK2pump,5,238464,36733878163078,3936705768,687004957,-3.249701,3988475618.69857,668988976,-3.319487
1784620488761,Zuki,ArzFoiT6n2xLwvZrGUL6rkDDGhA8xU5LTYLx8Nrbpump,1,43934,2047431488757,239405000,3077332622,2.837928,288337785.114861,2012247726,1.72391
1784620549271,Felix,8gQ3eVqkidFuLxRcbAJfy71VrNQoiZuiUekNbvXopump,1,16112,17687116830204,1004079080,748421949,-0.255657,623810505.303402,504258844,-0.119552
1784620953810,Zuki,EWWoZJ4ANGubSk7GwfCs3W5cPA5KtwMLoBUUYPtSpump,3,14603,9340200334395,1626293700,1522857016,-0.103437,1479055463.7043,1463275736,-0.01578
1784621799975,Zuki,GrA9nV3kwwh55VMfZZhwBZHSYjksHJb6vhi2ADAFpump,15,365737,19271440605560,2506775557,2431567095,-0.075208,2876828919.027916,2664996679,-0.211832
1784622202623,Zuki,6okta4bqrJ2B5ZBSPNVhiTG7xgVGmFYHH3pMJxuWpump,2,8213,45911075206524,1382111207,1395962102,0.013851,1412674780.862869,1271001443,-0.141673
1784622325753,Doji,EWWoZJ4ANGubSk7GwfCs3W5cPA5KtwMLoBUUYPtSpump,1,1348985,9028001736070,1371279080,283657132,-1.087622,1510095817.183044,285188509,-1.224907
1784622523377,Zuki,GrA9nV3kwwh55VMfZZhwBZHSYjksHJb6vhi2ADAFpump,8,307260,27673903022665,4351096166,3604020030,-0.747076,4343072196.000633,3974235357,-0.368837
1784622745202,Zuki,CTd9iqdyz2mF6zaFsAqgwWovnvquFnvs6bEENjNUpump,2,15142,37833611631135,1566542561,1459085286,-0.107457,1272125229.347378,1063805250,-0.20832
1784623251817,Zuki,8rEguX5EGf2mhWpdLuwioZGPnj3oNkSniKUnNPDNpump,1,8910,30188909163402,895195257,1245609004,0.350414,891095118.886719,841720867,-0.049374
